,Uri,tracks_id,danceability,energy,key,loudness,mode,speechiness,acousticness,intrumentalness,liveness,valence,tempo,duration_ms,time_signature,analysis_url,track_href
0,spotify:track:0d28khcov6AiegSCpG5TuT,0d28khcov6AiegSCpG5TuT,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,222640,4,https://api.spotify.com/v1/audio-analysis/0d28khcov6AiegSCpG5TuT,https://api.spotify.com/v1/tracks/0d28khcov6AiegSCpG5TuT
1,spotify:track:1foMv2HQwfQ2vntFf9HFeG,1foMv2HQwfQ2vntFf9HFeG,0.676,0.703,8,-5.815,0,0.0302,0.0869,0.000687,0.0463,0.852,92.761,200173,4,https://api.spotify.com/v1/audio-analysis/1foMv2HQwfQ2vntFf9HFeG,https://api.spotify.com/v1/tracks/1foMv2HQwfQ2vntFf9HFeG
2,spotify:track:64dLd6rVqDLtkXFYrEUHIU,64dLd6rVqDLtkXFYrEUHIU,0.695,0.923,1,-3.93,0,0.0522,0.0425,0.0469,0.116,0.551,108.014,215150,3,https://api.spotify.com/v1/audio-analysis/64dLd6rVqDLtkXFYrEUHIU,https://api.spotify.com/v1/tracks/64dLd6rVqDLtkXFYrEUHIU
3,spotify:track:0q6LuUqGLUiCPP1cbdwFs3,0q6LuUqGLUiCPP1cbdwFs3,0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,233867,4,https://api.spotify.com/v1/audio-analysis/0q6LuUqGLUiCPP1cbdwFs3,https://api.spotify.com/v1/tracks/0q6LuUqGLUiCPP1cbdwFs3
4,spotify:track:7yMiX7n9SBvadzox8T5jzT,7yMiX7n9SBvadzox8T5jzT,0.663,0.694,10,-8.627,0,0.171,0.0253,0.0,0.0698,0.525,167.953,340920,4,https://api.spotify.com/v1/audio-analysis/7yMiX7n9SBvadzox8T5jzT,https://api.spotify.com/v1/tracks/7yMiX7n9SBvadzox8T5jzT
5,spotify:track:4Hff1IjRbLGeLgFgxvHflk,4Hff1IjRbLGeLgFgxvHflk,0.76,0.891,11,-5.852,0,0.0372,0.0229,0.0869,0.298,0.966,120.264,245000,4,https://api.spotify.com/v1/audio-analysis/4Hff1IjRbLGeLgFgxvHflk,https://api.spotify.com/v1/tracks/4Hff1IjRbLGeLgFgxvHflk
6,spotify:track:2c3KCGq6UojB2c8UAFrRON,2c3KCGq6UojB2c8UAFrRON,0.716,0.897,4,-7.185,0,0.0629,0.012,0.262,0.325,0.358,127.03,274142,4,https://api.spotify.com/v1/audio-analysis/2c3KCGq6UojB2c8UAFrRON,https://api.spotify.com/v1/tracks/2c3KCGq6UojB2c8UAFrRON
7,spotify:track:3lIxtCaROdRDuTnNBDm3n2,3lIxtCaROdRDuTnNBDm3n2,0.726,0.815,11,-5.886,1,0.0313,0.00799,0.081,0.112,0.462,140.158,209560,4,https://api.spotify.com/v1/audio-analysis/3lIxtCaROdRDuTnNBDm3n2,https://api.spotify.com/v1/tracks/3lIxtCaROdRDuTnNBDm3n2
8,spotify:track:2W3ZpQg9i6lE6kmHbcdu9N,2W3ZpQg9i6lE6kmHbcdu9N,0.741,0.913,2,-3.34,0,0.0465,0.00343,0.103,0.325,0.643,120.012,213750,4,https://api.spotify.com/v1/audio-analysis/2W3ZpQg9i6lE6kmHbcdu9N,https://api.spotify.com/v1/tracks/2W3ZpQg9i6lE6kmHbcdu9N
9,spotify:track:2bfGNzdiRa1jXZRdfssSzR,2bfGNzdiRa1jXZRdfssSzR,0.625,0.877,10,-7.176,0,0.162,0.0315,0.0811,0.672,0.865,192.296,230426,4,https://api.spotify.com/v1/audio-analysis/2bfGNzdiRa1jXZRdfssSzR,https://api.spotify.com/v1/tracks/2bfGNzdiRa1jXZRdfssSzR
